"filename", "language", "JavaScript", "Markdown", "JSON", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\App.css", "CSS", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\App.js", "JavaScript", 204, 0, 0, 0, 0, 46, 35, 285
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\Translation Files\Transalationfr.json", "JSON", 0, 0, 308, 0, 0, 0, 13, 321
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\Translation Files\TranslationEn.json", "JSON", 0, 0, 310, 0, 0, 0, 5, 315
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\Translation Files\Translationchi.json", "JSON", 0, 0, 309, 0, 0, 0, 22, 331
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\Translation Files\Translationgr.json", "JSON", 0, 0, 310, 0, 0, 0, 20, 330
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\Translation Files\Translationsp.json", "JSON", 0, 0, 308, 0, 0, 0, 19, 327
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\app\store.js", "JavaScript", 32, 0, 0, 0, 0, 0, 7, 39
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\assets\README.md", "Markdown", 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\Chat\Chat.jsx", "JavaScript JSX", 0, 0, 0, 237, 0, 19, 30, 286
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\Chat\Chat.module.css", "CSS", 0, 0, 0, 0, 357, 16, 51, 424
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\LanguageSelector\LanguageDropdown.js", "JavaScript", 99, 0, 0, 0, 0, 1, 7, 107
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\LanguageSelector\LanguageDropdown.module.css", "CSS", 0, 0, 0, 0, 61, 0, 10, 71
