Date : 2023-08-19 12:21:56
Directory : c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src
Total : 321 files,  33121 codes, 2483 comments, 3670 blanks, all 39274 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |        113 |     18,358 |        952 |      1,742 |     21,052 |
| CSS            |        116 |      6,751 |        371 |      1,046 |      8,168 |
| JavaScript     |         79 |      6,429 |      1,160 |        781 |      8,370 |
| JSON           |          5 |      1,545 |          0 |         79 |      1,624 |
| Markdown       |          8 |         38 |          0 |         22 |         60 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                    |        321 |     33,121 |      2,483 |      3,670 |     39,274 |
| . (Files)                                                                                                                                                                                            |          8 |        367 |         54 |         61 |        482 |
| Translation Files                                                                                                                                                                                    |          5 |      1,545 |          0 |         79 |      1,624 |
| app                                                                                                                                                                                                  |          1 |         32 |          0 |          7 |         39 |
| assets                                                                                                                                                                                               |          1 |          4 |          0 |          1 |          5 |
| components                                                                                                                                                                                           |        193 |     23,579 |      1,351 |      2,573 |     27,503 |
| components (Files)                                                                                                                                                                                   |          1 |          5 |          0 |          3 |          8 |
| components\Chat                                                                                                                                                                                      |          2 |        594 |         35 |         81 |        710 |
| components\LanguageSelector                                                                                                                                                                          |          2 |        160 |          1 |         17 |        178 |
| components\LoadingSpinner                                                                                                                                                                            |          2 |         26 |          0 |          5 |         31 |
| components\Popup                                                                                                                                                                                     |          2 |        132 |          9 |         27 |        168 |
| components\TestComponent                                                                                                                                                                             |          2 |          0 |          0 |          2 |          2 |
| components\apiKeyFailureModal                                                                                                                                                                        |          2 |         50 |          0 |          8 |         58 |
| components\bookSpinner                                                                                                                                                                               |          2 |        357 |          7 |          8 |        372 |
| components\editor                                                                                                                                                                                    |          2 |        156 |          2 |         19 |        177 |
| components\flip                                                                                                                                                                                      |          2 |         47 |          0 |          9 |         56 |
| components\flipMenu                                                                                                                                                                                  |          2 |        262 |          5 |         29 |        296 |
| components\hoverCard                                                                                                                                                                                 |         10 |      1,504 |         32 |        166 |      1,702 |
| components\hoverCard (Files)                                                                                                                                                                         |          4 |        131 |          3 |         17 |        151 |
| components\hoverCard\documentCard                                                                                                                                                                    |          1 |        408 |         13 |         38 |        459 |
| components\hoverCard\foldersCard                                                                                                                                                                     |          1 |        120 |          1 |         17 |        138 |
| components\hoverCard\processCard                                                                                                                                                                     |          1 |        258 |         13 |         44 |        315 |
| components\hoverCard\templateCard                                                                                                                                                                    |          1 |        262 |          0 |         23 |        285 |
| components\hoverCard\workflowCard                                                                                                                                                                    |          2 |        325 |          2 |         27 |        354 |
| components\iFrame                                                                                                                                                                                    |          1 |         28 |          0 |          5 |         33 |
| components\infoBox                                                                                                                                                                                   |          5 |        862 |         24 |         72 |        958 |
| components\landingPage                                                                                                                                                                               |          5 |        479 |         20 |         59 |        558 |
| components\landingPage\customerSupport                                                                                                                                                               |          3 |        238 |         17 |         29 |        284 |
| components\landingPage\handleTasks                                                                                                                                                                   |          2 |        241 |          3 |         30 |        274 |
| components\manageFiles                                                                                                                                                                               |         14 |      1,792 |        117 |        212 |      2,121 |
| components\manageFiles (Files)                                                                                                                                                                       |          2 |        137 |         13 |         16 |        166 |
| components\manageFiles\ProcessDetail                                                                                                                                                                 |          2 |        332 |         11 |         49 |        392 |
| components\manageFiles\files                                                                                                                                                                         |          6 |        691 |         66 |         89 |        846 |
| components\manageFiles\files\documents                                                                                                                                                               |          2 |        257 |         14 |         34 |        305 |
| components\manageFiles\files\documents\createDocument                                                                                                                                                |          2 |        257 |         14 |         34 |        305 |
| components\manageFiles\files\workflows                                                                                                                                                               |          4 |        434 |         52 |         55 |        541 |
| components\manageFiles\files\workflows\createWorkflows                                                                                                                                               |          4 |        434 |         52 |         55 |        541 |
| components\manageFiles\files\workflows\createWorkflows (Files)                                                                                                                                       |          2 |        306 |         52 |         42 |        400 |
| components\manageFiles\files\workflows\createWorkflows\stepTable                                                                                                                                     |          2 |        128 |          0 |         13 |        141 |
| components\manageFiles\overlay                                                                                                                                                                       |          2 |         98 |          2 |         18 |        118 |
| components\manageFiles\sectionBox                                                                                                                                                                    |          2 |        534 |         25 |         40 |        599 |
| components\modal                                                                                                                                                                                     |          5 |        646 |         11 |         81 |        738 |
| components\newSidebar                                                                                                                                                                                |         19 |      2,217 |        199 |        222 |      2,638 |
| components\newSidebar (Files)                                                                                                                                                                        |          2 |        549 |         63 |         56 |        668 |
| components\newSidebar\collapseItem                                                                                                                                                                   |          2 |        223 |          0 |         23 |        246 |
| components\newSidebar\footer                                                                                                                                                                         |          2 |         62 |          0 |         12 |         74 |
| components\newSidebar\manageFile                                                                                                                                                                     |          4 |        462 |         44 |         34 |        540 |
| components\newSidebar\manageFile (Files)                                                                                                                                                             |          2 |        304 |         44 |         19 |        367 |
| components\newSidebar\manageFile\ProcessDetailModal                                                                                                                                                  |          2 |        158 |          0 |         15 |        173 |
| components\newSidebar\new                                                                                                                                                                            |          2 |        166 |          1 |         19 |        186 |
| components\newSidebar\notifications                                                                                                                                                                  |          2 |        164 |          1 |         14 |        179 |
| components\newSidebar\reports                                                                                                                                                                        |          1 |        153 |         88 |         14 |        255 |
| components\newSidebar\search                                                                                                                                                                         |          2 |        339 |          2 |         38 |        379 |
| components\newSidebar\userDetail                                                                                                                                                                     |          2 |         99 |          0 |         12 |        111 |
| components\progressBar                                                                                                                                                                               |          2 |         47 |          0 |         10 |         57 |
| components\setWorkFlowInDoc                                                                                                                                                                          |         40 |      3,495 |        234 |        455 |      4,184 |
| components\setWorkFlowInDoc (Files)                                                                                                                                                                  |          3 |        148 |          2 |         22 |        172 |
| components\setWorkFlowInDocNew                                                                                                                                                                       |         56 |      8,361 |        463 |        861 |      9,685 |
| components\setWorkFlowInDocNew (Files)                                                                                                                                                               |          3 |        399 |          7 |         47 |        453 |
| components\setWorkFlowInDocNew\assignButton                                                                                                                                                          |          1 |         22 |          0 |          3 |         25 |
| components\setWorkFlowInDocNew\contentMapOfDoc                                                                                                                                                       |          2 |        188 |         18 |         26 |        232 |
| components\setWorkFlowInDocNew\contents                                                                                                                                                              |          4 |        554 |         43 |         59 |        656 |
| components\setWorkFlowInDocNew\contents (Files)                                                                                                                                                      |          2 |        396 |         42 |         36 |        474 |
| components\setWorkFlowInDocNew\contents\contentPagination                                                                                                                                            |          2 |        158 |          1 |         23 |        182 |
| components\setWorkFlowInDocNew\customerSupport                                                                                                                                                       |          3 |        227 |          2 |         29 |        258 |
| components\setWorkFlowInDocNew\formLayout                                                                                                                                                            |          2 |         50 |          1 |          9 |         60 |
| components\setWorkFlowInDocNew\radio                                                                                                                                                                 |          1 |         15 |          0 |          4 |         19 |
| components\setWorkFlowInDocNew\select                                                                                                                                                                |          2 |         72 |          0 |          8 |         80 |
| components\setWorkFlowInDocNew\steps                                                                                                                                                                 |         38 |      6,834 |        392 |        676 |      7,902 |
| components\setWorkFlowInDocNew\steps\checkErrors                                                                                                                                                     |          2 |      1,440 |         19 |         55 |      1,514 |
| components\setWorkFlowInDocNew\steps\connectWebflowToDoc                                                                                                                                             |         16 |      3,056 |        149 |        303 |      3,508 |
| components\setWorkFlowInDocNew\steps\connectWebflowToDoc (Files)                                                                                                                                     |          2 |        516 |         52 |         55 |        623 |
| components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents                                                                                                                                    |         12 |      2,416 |         90 |        227 |      2,733 |
| components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\assignCollapse                                                                                                                     |          6 |        675 |         14 |         66 |        755 |
| components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\assignCollapse (Files)                                                                                                             |          2 |        192 |          1 |         29 |        222 |
| components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\assignCollapse\display                                                                                                             |          1 |         60 |          0 |          6 |         66 |
| components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\assignCollapse\location                                                                                                            |          1 |        196 |         13 |         15 |        224 |
| components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\assignCollapse\reminder                                                                                                            |          1 |         56 |          0 |          6 |         62 |
| components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\assignCollapse\time                                                                                                                |          1 |        171 |          0 |         10 |        181 |
| components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\assignDocumentMap                                                                                                                  |          1 |        121 |          1 |         23 |        145 |
| components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\copiesOfDoc                                                                                                                        |          2 |        209 |          3 |         28 |        240 |
| components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\selectMembersToAssign                                                                                                              |          3 |      1,411 |         72 |        110 |      1,593 |
| components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\selectMembersToAssign (Files)                                                                                                      |          2 |      1,159 |         72 |         90 |      1,321 |
| components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\selectMembersToAssign\assignTask                                                                                                   |          1 |        252 |          0 |         20 |        272 |
| components\setWorkFlowInDocNew\steps\connectWebflowToDoc\dropdown                                                                                                                                    |          2 |        124 |          7 |         21 |        152 |
| components\setWorkFlowInDocNew\steps\processDocument                                                                                                                                                 |          7 |      1,130 |        119 |        159 |      1,408 |
| components\setWorkFlowInDocNew\steps\processDocument (Files)                                                                                                                                         |          2 |        455 |         97 |         73 |        625 |
| components\setWorkFlowInDocNew\steps\processDocument\components                                                                                                                                      |          4 |        500 |          4 |         57 |        561 |
| components\setWorkFlowInDocNew\steps\processDocument\components\GeneratedLinksModal                                                                                                                  |          2 |        335 |          4 |         36 |        375 |
| components\setWorkFlowInDocNew\steps\processDocument\components\SaveConfirmationModal                                                                                                                |          2 |        165 |          0 |         21 |        186 |
| components\setWorkFlowInDocNew\steps\processDocument\utils                                                                                                                                           |          1 |        175 |         18 |         29 |        222 |
| components\setWorkFlowInDocNew\steps\selectDoc                                                                                                                                                       |          5 |        504 |         46 |         67 |        617 |
| components\setWorkFlowInDocNew\steps\selectDoc (Files)                                                                                                                                               |          3 |        378 |         38 |         48 |        464 |
| components\setWorkFlowInDocNew\steps\selectDoc\selectedDocuments                                                                                                                                     |          2 |        126 |          8 |         19 |        153 |
| components\setWorkFlowInDocNew\steps\selectWorkflow                                                                                                                                                  |          6 |        625 |         59 |         77 |        761 |
| components\setWorkFlowInDocNew\steps\selectWorkflow (Files)                                                                                                                                          |          2 |        111 |          2 |         21 |        134 |
| components\setWorkFlowInDocNew\steps\selectWorkflow\selectWorkflowBoxes                                                                                                                              |          2 |        405 |         57 |         44 |        506 |
| components\setWorkFlowInDocNew\steps\selectWorkflow\selectedWorkflow                                                                                                                                 |          2 |        109 |          0 |         12 |        121 |
| components\setWorkFlowInDocNew\steps\setProcessName                                                                                                                                                  |          2 |         79 |          0 |         15 |         94 |
| components\setWorkFlowInDoc\assignButton                                                                                                                                                             |          2 |         39 |          0 |          4 |         43 |
| components\setWorkFlowInDoc\contentMapOfDoc                                                                                                                                                          |          2 |        155 |         39 |         24 |        218 |
